Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2022-12-01T01:22:25+00:00,False,,51.393003,-0.530023,Male,18-24,Asian/Asian British - Bangladeshi,Asian,,Controlled drugs,Arrest,True,
Person search,2022-12-01T02:55:30+00:00,False,,51.423446,-0.415764,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Arrest,False,
Person search,2022-12-01T05:18:08+00:00,False,,51.219931,-0.048707,Male,over 34,Black/African/Caribbean/Black British - African,Black,,Controlled drugs,Community resolution,True,
Person search,2022-12-01T10:32:22+00:00,False,,51.423114,-0.448080,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,False,
Person search,2022-12-01T13:46:02+00:00,False,,51.432440,-0.470782,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,
Person search,2022-12-01T14:08:06+00:00,False,,51.240462,-0.171162,Male,10-17,,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-01T15:36:33+00:00,False,,51.434468,-0.505257,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,Arrest,False,
Person search,2022-12-01T20:49:01+00:00,False,,51.166598,-0.172011,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,
Person search,2022-12-02T17:11:17+00:00,False,,51.309376,-0.242358,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,
Person search,2022-12-02T17:13:41+00:00,False,,51.309376,-0.242358,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,
Person search,2022-12-02T19:43:59+00:00,False,,51.362862,-0.246445,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-02T19:54:53+00:00,False,,51.362862,-0.246445,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-02T20:01:30+00:00,False,,51.362862,-0.246445,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-02T20:07:45+00:00,False,,51.362862,-0.246445,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-02T22:37:14+00:00,False,,51.277697,-0.092042,,18-24,White - Any other White background,White,,Controlled drugs,Community resolution,True,
Person search,2022-12-03T00:14:10+00:00,False,,51.321264,-0.559168,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,False,
Person search,2022-12-03T03:11:33+00:00,False,,51.237522,-0.186850,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,False,
Person search,2022-12-03T07:08:53+00:00,False,,51.434053,-0.516477,Male,18-24,Black/African/Caribbean/Black British - African,Black,,,Community resolution,True,
Person search,2022-12-03T17:21:06+00:00,False,,51.321356,-0.598545,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,
Person search,2022-12-03T17:42:05+00:00,False,,51.281931,-0.077097,Male,over 34,,Black,,Controlled drugs,A no further action disposal,True,
Person search,2022-12-03T21:38:01+00:00,False,,51.428709,-0.582461,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T00:29:25+00:00,False,,51.319862,-0.555581,Male,25-34,,White,,Offensive weapons,A no further action disposal,False,
Person search,2022-12-04T01:22:05+00:00,False,,51.347788,-0.602678,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Vehicle search,2022-12-04T01:24:56+00:00,False,,51.347788,-0.602678,,,,,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T01:27:39+00:00,False,,51.347788,-0.602678,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T01:28:46+00:00,False,,51.347788,-0.602678,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T01:30:49+00:00,False,,51.347788,-0.602678,Male,18-24,Black/African/Caribbean/Black British - African,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T04:43:25+00:00,False,,51.332343,-0.526624,Male,18-24,,White,,Stolen goods,A no further action disposal,False,
Person search,2022-12-04T05:50:58+00:00,False,,51.238176,-0.164734,Female,over 34,White - Irish,White,,Controlled drugs,A no further action disposal,False,
Person search,2022-12-04T14:41:01+00:00,False,,51.239503,-0.576622,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,
