Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2024-04-30T23:05:00+00:00,False,,51.435474,0.005527,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Community resolution,,
Person search,2024-04-30T23:05:00+00:00,False,,51.434437,-0.000633,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2024-05-01T00:05:00+00:00,False,,51.884356,0.547590,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T00:05:00+00:00,True,,51.442153,-0.094017,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,Arrest,,
Person and Vehicle search,2024-05-01T00:05:00+00:00,False,,51.884356,0.547590,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2024-05-01T06:05:00+00:00,True,,51.884468,0.250995,,,,,Aviation Security Act 1982 (section 27(1)),,A no further action disposal,,
Person and Vehicle search,2024-05-01T06:05:00+00:00,False,,51.885540,0.250069,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Aviation Security Act 1982 (section 27(1)),,A no further action disposal,,
Person search,2024-05-01T06:05:00+00:00,False,,51.916890,0.932266,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2024-05-01T06:05:00+00:00,True,,51.884468,0.250995,,,,,Aviation Security Act 1982 (section 27(1)),,A no further action disposal,,
Person search,2024-05-01T06:05:00+00:00,False,,51.885540,0.250069,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Aviation Security Act 1982 (section 27(1)),,A no further action disposal,,
Person search,2024-05-01T09:05:00+00:00,False,,51.774381,1.099818,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T11:05:00+00:00,False,,51.747464,0.446402,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person and Vehicle search,2024-05-01T11:05:00+00:00,False,,51.747016,0.458432,Male,over 34,Other ethnic group - Not stated,Mixed,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T11:05:00+00:00,False,,51.747464,0.446402,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T12:05:00+00:00,False,,51.647562,0.082697,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T12:05:00+00:00,True,,51.771360,0.094436,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,Community resolution,,
Person search,2024-05-01T13:05:00+00:00,False,,51.767258,0.092507,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T13:05:00+00:00,True,,51.767711,0.089803,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Vehicle search,2024-05-01T14:05:00+00:00,False,,51.761801,0.063967,,,,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.883429,0.546782,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.884657,0.548329,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.885050,0.546685,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.884657,0.548329,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.918079,0.898805,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T15:05:00+00:00,False,,51.918079,0.898805,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2024-05-01T16:05:00+00:00,False,,51.511035,0.429100,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest,,
