Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Vehicle search,2024-09-01T00:00:00+00:00,,,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Vehicle search,2024-09-01T00:00:00+00:00,,,,,,,,,,,,,
Vehicle search,2024-09-01T00:00:00+00:00,,,,,,,,,,,,,
Person search,2024-09-01T01:36:05+00:00,,,51.451106,-2.575023,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,True
Person search,2024-09-01T02:46:00+00:00,,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Female,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Female,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T04:05:40+00:00,,,51.347602,-2.980031,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2024-09-01T05:26:41+00:00,,,51.470657,-2.563362,Male,18-24,Black/African/Caribbean/Black British - African,Mixed,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
